ts total_used_gb shm_gb pss_total_gb pss_actors_gb pss_forked_gb n_proc top3
06:28:24 9.3 0.0 0.0 0.0 0.0 0 
06:28:44 9.9 0.0 1.0 1.0 0.0 1 1099522:1.0G:python3
07:15:01 115.7 30.9 105.5 88.4 17.1 94 1104037:36.7G:ay::TaskRunner.run|1104349:22.0G:rollout_update_act|1105605:15.2G:VLLM::Worker
07:15:24 115.7 30.9 105.1 88.0 17.1 94 1104037:36.7G:ay::TaskRunner.run|1104349:21.7G:rollout_update_act|1105605:15.2G:VLLM::Worker
07:15:46 118.8 30.9 105.6 88.6 17.1 94 1104037:36.7G:ay::TaskRunner.run|1104349:22.2G:rollout_update_act|1105605:15.2G:VLLM::Worker
07:16:09 116.0 30.9 105.0 87.9 17.1 94 1104037:36.6G:ay::TaskRunner.run|1104349:21.6G:rollout_update_wei|1105605:15.2G:VLLM::Worker
07:16:32 129.1 30.9 117.5 99.4 18.2 94 1104037:36.3G:ay::TaskRunner.run|1104349:21.9G:ray::WorkerDict|1105605:16.2G:VLLM::Worker
07:16:55 137.6 30.9 127.0 105.3 21.7 94 1104037:36.2G:ay::TaskRunner.run|1104349:21.9G:ray::WorkerDict|1105605:19.4G:VLLM::Worker
07:17:18 139.6 30.9 129.1 105.9 23.2 94 1104037:36.2G:ay::TaskRunner.run|1104349:21.9G:ray::WorkerDict|1105605:20.3G:VLLM::Worker
07:17:41 142.1 30.9 131.1 107.1 24.0 94 1104037:36.2G:ay::TaskRunner.run|1104349:21.9G:ray::WorkerDict|1105605:20.4G:VLLM::Worker
07:18:05 144.0 30.9 133.2 109.3 23.9 94 1104037:36.2G:ay::TaskRunner.run|1104349:21.8G:ray::WorkerDict|1105605:19.9G:VLLM::Worker
07:18:28 146.1 30.9 135.2 116.0 19.2 94 1104037:36.5G:ay::TaskRunner.run|1104349:21.8G:ray::WorkerDict|1105605:15.2G:VLLM::Worker
07:18:51 142.9 30.9 129.1 112.0 17.1 94 1104037:59.9G:ay::TaskRunner.run|1104349:21.6G:ray::WorkerDict|1105605:15.2G:VLLM::Worker
07:19:15 148.2 30.9 137.5 120.4 17.1 94 1104037:68.4G:ay::TaskRunner.run|1104349:21.6G:ray::WorkerDict|1105605:15.2G:VLLM::Worker
07:19:38 163.1 30.9 150.1 133.0 17.1 94 1104037:52.3G:ay::TaskRunner.run|1104349:50.2G:rollout_compute_lo|1105605:15.2G:VLLM::Worker
07:20:01 132.0 30.9 121.3 104.2 17.1 94 1104037:52.3G:ay::TaskRunner.run|1104349:21.5G:rollout_compute_lo|1105605:15.2G:VLLM::Worker
07:20:24 132.1 30.9 121.4 104.4 17.1 94 1104037:52.3G:ay::TaskRunner.run|1104349:21.6G:rollout_compute_lo|1105605:15.2G:VLLM::Worker
07:20:47 132.1 30.9 121.4 104.4 17.1 94 1104037:52.3G:ay::TaskRunner.run|1104349:21.6G:rollout_compute_lo|1105605:15.2G:VLLM::Worker
07:21:10 132.0 30.9 121.3 104.2 17.1 94 1104037:52.3G:ay::TaskRunner.run|1104349:21.5G:rollout_compute_lo|1105605:15.2G:VLLM::Worker
07:21:33 132.0 30.9 121.3 104.2 17.1 94 1104037:52.3G:ay::TaskRunner.run|1104349:21.5G:rollout_compute_lo|1105605:15.2G:VLLM::Worker
07:21:56 156.9 30.9 142.8 125.7 17.1 94 1104037:57.7G:ay::TaskRunner.run|1104349:37.6G:ray::WorkerDict|1105605:15.2G:VLLM::Worker
07:22:20 164.2 30.9 169.3 152.3 17.1 94 1104037:84.2G:ay::TaskRunner.run|1104349:37.6G:ray::WorkerDict|1105605:15.2G:VLLM::Worker
07:22:43 174.6 30.9 161.3 144.3 17.1 94 1104349:61.4G:rollout_compute_lo|1104037:52.4G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
07:23:06 132.0 30.9 121.3 104.2 17.1 94 1104037:52.4G:ay::TaskRunner.run|1104349:21.3G:rollout_compute_lo|1105605:15.2G:VLLM::Worker
07:23:29 132.1 30.9 121.6 104.5 17.1 94 1104037:52.4G:ay::TaskRunner.run|1104349:21.6G:rollout_compute_lo|1105605:15.2G:VLLM::Worker
07:23:52 132.1 30.9 121.6 104.5 17.1 94 1104037:52.4G:ay::TaskRunner.run|1104349:21.6G:rollout_compute_lo|1105605:15.2G:VLLM::Worker
07:24:15 131.7 30.9 121.5 104.4 17.1 94 1104037:52.4G:ay::TaskRunner.run|1104349:21.5G:rollout_compute_lo|1105605:15.2G:VLLM::Worker
07:24:38 132.0 30.9 121.5 104.4 17.1 94 1104037:52.4G:ay::TaskRunner.run|1104349:21.5G:rollout_compute_lo|1105605:15.2G:VLLM::Worker
07:25:01 146.0 30.9 131.3 114.2 17.1 94 1104037:62.2G:ay::TaskRunner.run|1104349:21.6G:ray::WorkerDict|1105605:15.2G:VLLM::Worker
07:25:25 135.2 30.9 137.8 120.8 17.1 94 1104037:68.7G:ay::TaskRunner.run|1104349:21.6G:rollout_update_act|1105605:15.2G:VLLM::Worker
07:25:48 142.0 30.9 135.3 118.2 17.1 94 1104037:52.6G:ay::TaskRunner.run|1104349:35.1G:rollout_update_act|1105605:15.2G:VLLM::Worker
07:26:11 132.1 30.9 121.9 104.8 17.1 94 1104037:52.6G:ay::TaskRunner.run|1104349:21.8G:rollout_update_act|1105605:15.2G:VLLM::Worker
07:26:34 132.5 30.9 121.5 104.5 17.1 94 1104037:52.6G:ay::TaskRunner.run|1104349:21.4G:rollout_update_act|1105605:15.2G:VLLM::Worker
07:26:57 132.1 30.9 121.9 104.8 17.1 94 1104037:52.6G:ay::TaskRunner.run|1104349:21.7G:rollout_update_act|1105605:15.2G:VLLM::Worker
07:27:20 132.1 30.9 121.5 104.5 17.1 94 1104037:52.6G:ay::TaskRunner.run|1104349:21.4G:rollout_update_act|1105605:15.2G:VLLM::Worker
